书名,作者,折扣价,出版商,详细链接,简介
天下一知 严伯钧给青少年的AI通识 随书专享 《AI超级个体》3天闭,严伯钧,¥44.90,中信出版社,http://product.dangdang.com/29997727.html,当所有人在谈论AI的“能”与“不能”，这本书带你追问AI是什么、为什么如此智能、将把人类带往何方。
美国儿科学会育儿百科（第8版）,塔尼娅,¥69.00,北京科学技术出版社,http://product.dangdang.com/29995781.html,凝聚百位儿科知名专家智慧，30多年来持续修订，全面、科学、先进的育儿百科
全5册 快乐读书吧正版神笔马良二年级正版版小学生课外书全套 七色,・卡达耶夫,¥17.90,天津教育出版社,http://product.dangdang.com/29986027.html,无简介
快乐的死（人类唯yi的责任就是快乐地活着。）,阿尔贝・加缪,¥19.80,四川人民出版社,http://product.dangdang.com/29995084.html,不惜一切追求快乐，对抗我们周遭这个充满愚蠢和暴力的世界。诺贝尔文学奖得主加缪生前未发表小说。三面刷边，uv夜光工艺。
谈鬼说神【当当定制特装版】作者签名+特制四印 哑光布面 书名烫黑,栾保群,¥362.00,山西人民出版社发行部,http://product.dangdang.com/30005517.html,“将怪力乱神当作正经学问研究的Di一人”栾保群作品，从民间传说中找依据，覆盖“鬼”“魂”“神”三大主题，鬼的模样、魂灵的去向、阴间的规则、诸神的谱系，全都讲得清楚明 收录著名书画家溥儒经典彩色“鬼画”
诡舍5无声告别 当当印特签版 夜来风雨声悬疑幻想震撼之作,夜来风雨声,¥38.80,江苏凤凰文艺出版社,http://product.dangdang.com/29985093.html,番茄年度小说巅峰榜Top6，完本榜Top1，热播榜Top1。新增出版番外《声声慢》。当宿命叩响离别的前奏，彼岸尽头，你我终将重逢！赠：倒计时海报+人设卡牌*2+水墨拍立得*2+拼图碎片*2+Q版场景卡
26春*年级阅读 小学语文一年级下册 第6版,无作者,¥66.97,开明出版社,http://product.dangdang.com/29981232.html,无简介
26春*年级阅读 小学语文二年级下册 第6版,无作者,¥66.97,开明出版社,http://product.dangdang.com/29981233.html,无简介
《三国演义适龄精编版》,无作者,¥32.01,北京少年儿童出版社,http://product.dangdang.com/29990752.html,无简介
米吴科学大侦探第一辑(共4册) 现货首发 7-14岁 米吴科学图书全新,未华童书,¥69.80,新世纪出版社,http://product.dangdang.com/29978974.html,千万册畅销科普漫画作者“这不科学啊”团队全新力作！热血漫画+精彩推理+趣味故事+细致世界观设定+严谨科学知识校园故事贴近孩子视角，轻松易读、谜题设置合理、科学知识广泛
神探迈克狐・灰狼危机篇（全6册）中国优质原创科学侦探故事，解锁,多多罗,¥169.90,湖南文艺出版社,http://product.dangdang.com/29997840.html,超人气中国优质原创科学侦探故事，音频播放超52亿次，图书畅销超800万册，陪伴万千少年智慧成长，生地化物知识丰富，观察思考、逻辑推理，用科学智慧破解侦探难题，精彩故事，体会正义、友谊和亲情的力量。
红星照耀中国 足本全译超厚八年级上册必读书正版原著课外阅读书籍,埃德加・斯洛,¥12.80,长江文艺出版社,http://product.dangdang.com/29974258.html,无简介
平原上的摩西 电影《我的朋友安德烈》特别纪念版   附赠电影明信,双雪涛,¥29.40,新星出版社,http://product.dangdang.com/29987692.html,电影《我的朋友安德烈》纪念版  董子健×刘昊然主演  附赠电影明信片 光栅卡 创作谈 小说家双雪涛代表作，余华、格非、罗新、李雪琴倾情推荐
那个已然饱和的夏天 当当定制夏日祭烟火透卡 超人气小说家音乐家,神绮一织,¥40.60,江苏凤凰文艺出版社,http://product.dangdang.com/29976877.html,日亚4.5星高分推荐。迷惘少男×厌世少女，世界是坍塌的孤岛，而他们是彼此唯一的航船。逃亡的尽头不是世界的边界，而是与你相遇的那个夏天。随书附赠：花火留声卡+相恋聊天框+心轨小物折页。酷威文化
