电影名,类型,地点,时长,上映时间,评分,图片链接
钢琴家 - The Pianist,剧情音乐传记历史战争,法国、德国、英国、波兰,150 分钟,2002-05-24 上映,8.9,https://p0.meituan.net/movie/bcbe59fc51580317adf94537a61a1a26142090.jpg@464w_644h_1e_1c
本杰明·巴顿奇事 - The Curious Case of Benjamin Button,剧情爱情奇幻,美国,166 分钟,2008-12-25 上映,8.9,https://p0.meituan.net/movie/2526f77c650bf7cf3d5ee2dccdeac332244951.jpg@464w_644h_1e_1c
倩女幽魂 - A Chinese Ghost Story,爱情奇幻武侠古装,中国香港,98 分钟,2011-04-30 上映,8.9,https://p1.meituan.net/movie/96d98200d2afb4b87ff189f9c15b6545568339.jpg@464w_644h_1e_1c
哈利·波特与死亡圣器（下） - Harry Potter and the Deathly Hallows: Part 2,剧情悬疑奇幻冒险,英国、美国,130 分钟,2011-08-04 上映,8.9,https://p1.meituan.net/movie/bb0eca029cd25329776a4549b3fbe262924727.jpg@464w_644h_1e_1c
甜蜜蜜 - Comrades: Almost a Love Story,剧情爱情,中国香港,118 分钟,2015-02-13 上映,8.9,https://p1.meituan.net/movie/0b0d45b58946078dd24d4945dd6be3b51329411.jpg@464w_644h_1e_1c
蝙蝠侠：黑暗骑士崛起 - The Dark Knight Rises,剧情动作科幻惊悚犯罪,美国、英国,165 分钟,2012-08-27 上映,8.9,https://p0.meituan.net/movie/f7f4b4099773268f8290ed033f49dc01377512.jpg@464w_644h_1e_1c
鬼子来了 - Devils on the Doorstep,剧情战争,中国大陆,139 分钟,2000-05-13 上映,8.8,https://p0.meituan.net/movie/34f9202c5e823f490ffec4c69d5d0028137395.jpg@464w_644h_1e_1c
无敌破坏王 - Wreck-It Ralph,喜剧动画奇幻冒险,美国,101 分钟,2012-11-06 上映,8.8,https://p1.meituan.net/movie/70a574550c4bb928dcc6a40641294785150838.jpg@464w_644h_1e_1c
致命魔术 - The Prestige,剧情悬疑惊悚,美国、英国,130 分钟,2006-10-17 上映,8.8,https://p0.meituan.net/movie/83df1c541e6e0696e67ce7da81cb1e1a251258.jpg@464w_644h_1e_1c
神偷奶爸 - Despicable Me,喜剧动画冒险,美国、法国,95 分钟,2010-06-20 上映,8.8,https://p0.meituan.net/movie/85c2bfba6025bfbfb53291ae5924c215308805.jpg@464w_644h_1e_1c
断背山 - Brokeback Mountain,剧情爱情家庭,美国、加拿大,134 分钟,2005-09-02 上映,8.8,https://p0.meituan.net/movie/e71affe126eeb4f8bfcc738cbddeebc8288766.jpg@464w_644h_1e_1c
怦然心动 - Flipped,剧情喜剧爱情,美国,90 分钟,2010-07-26 上映,8.8,https://p0.meituan.net/movie/15f1ac49b6d1ff7b71207672993ed6901536456.jpg@464w_644h_1e_1c
驯龙高手 - How to Train Your Dragon,喜剧动画奇幻冒险,美国,98 分钟,2010-05-14 上映,8.8,https://p0.meituan.net/movie/b0d97e4158b47d653d7a81d66f7dd3092146907.jpg@464w_644h_1e_1c
飞屋环游记 - Up,剧情喜剧动画冒险,美国,96 分钟,2009-08-04 上映,8.8,https://p0.meituan.net/movie/f9356a376358f1576da3263d998eca7a94624.jpg@464w_644h_1e_1c
黑客帝国3：矩阵革命 - The Matrix Revolutions,动作科幻,美国、澳大利亚,129 分钟,2003-11-05 上映,8.8,https://p0.meituan.net/movie/2e383b5f5f306f10f9f26d9f1c28cf1d825537.jpg@464w_644h_1e_1c
速度与激情5 - Fast Five,动作犯罪,美国,130 分钟,2011-05-12 上映,8.9,https://p0.meituan.net/movie/845ce32778a1b3f258de089f91a3979b5766154.jpg@464w_644h_1e_1c
勇敢的心 - Braveheart,剧情动作传记历史战争,美国,177 分钟,1995-05-18 上映,8.9,https://p1.meituan.net/movie/f8e9d5a90224746d15dfdbd53d4fae3d209420.jpg@464w_644h_1e_1c
三傻大闹宝莱坞 - 3 Idiots,剧情喜剧爱情歌舞,印度,171 分钟,2011-12-08 上映,8.9,https://p1.meituan.net/movie/ca4a128a5a54d5b5e35ceba622636c831810197.jpg@464w_644h_1e_1c
闻香识女人 - Scent of a Woman,剧情,美国,157 分钟,1992-12-23 上映,8.9,https://p1.meituan.net/movie/8d7b0b902afd4ec1a3dd7a9c6149463c187734.jpg@464w_644h_1e_1c
末代皇帝 - The Last Emperor,剧情传记历史,英国、意大利、中国大陆、法国、美国,163 分钟,1987-10-23 上映,8.9,https://p1.meituan.net/movie/21b9211eb1094af360842472018db634286646.jpg@464w_644h_1e_1c
风之谷 - 風の谷のナウシカ,动画奇幻冒险,日本,117 分钟,,8.9,https://p0.meituan.net/movie/4f9638ba234c3fb673f23a09968db875371576.jpg@464w_644h_1e_1c
大话西游之月光宝盒 - A Chinese Odyssey,喜剧爱情奇幻古装,中国香港、中国大陆,87 分钟,2014-10-24 上映,8.9,https://p0.meituan.net/movie/396266d8b711958841b3536a3fa7b868211445.jpg@464w_644h_1e_1c
放牛班的春天 - Les choristes,剧情音乐,法国、德国、瑞士,97 分钟,2004-10-16 上映,8.9,https://p0.meituan.net/movie/70de97ebb6b5251ecb7c3f6d7a782a7f189340.jpg@464w_644h_1e_1c
